Group	t_5min	t_10min	t_15min	t_30min	t_60min	t_120min	t_180min	t_360min	t_720min	t_1440min	Metric
GUMBEL	1	1.4	1.425	1.9602	1.2179	1.2342	1.4999	1.4215	1.5418	1	KS-norm
GEV	1.1706	1	1	1	1	1	1	1	1	1.147	KS-norm
GAMMA	1.1934	1.1702	1.2688	1.6816	1.1449	1.1632	1.3503	1.2889	1.3735	1.0565	KS-norm
GUMBEL	1.4332	2.3186	2.0461	6.324	1.7464	2.2349	2.2046	2.137	2.6194	1.1138	AD-norm
GEV	1	1	1	1	1	1	1	1	1	1	AD-norm
GAMMA	1.0194	1.3728	1.3391	3.9198	1.4853	2.0509	1.8385	1.7432	2.0802	1.2313	AD-norm
GUMBEL	1.1729	2.0543	2.0738	5.5139	1.3891	2.0681	1.791	1.6714	1.9662	1	CVM-norm
GEV	1	1	1	1	1	1	1	1	1	1.1304	CVM-norm
GAMMA	1.0457	1.3317	1.4734	3.3865	1.1778	1.6591	1.4161	1.2953	1.4061	1.1324	CVM-norm
GUMBEL	1.0155	1.0401	1.0476	1.0653	1.0161	1.0072	1.0298	1.0615	1.0717	1.0001	AIC-norm
GEV	1.0071	1	1	1	1	1	1	1	1	1	AIC-norm
GAMMA	1	1.0062	1.0096	1.0354	1.0101	1.0082	1.0252	1.0477	1.0563	1.003	AIC-norm
