DF	t_5min	t_10min	t_15min	t_30min	t_60min	t_120min	t_180min	t_360min	t_720min	t_1440min	Metric
GUMBEL	1	3	3	3	3	3	3	3	3	1	KS-norm
GEV	2	1	1	1	1	1	1	1	1	3	KS-norm
LP3	3	2	2	2	2	2	2	2	2	2	KS-norm
GUMBEL	3	3	3	3	3	3	3	3	3	2	AD-norm
GEV	1	1	1	1	1	1	1	1	1	1	AD-norm
LP3	2	2	2	2	2	2	2	2	2	3	AD-norm
GUMBEL	3	3	3	3	3	3	3	3	3	1	CVM-norm
GEV	1	1	1	1	1	1	1	1	1	2	CVM-norm
LP3	2	2	2	2	2	2	2	2	2	3	CVM-norm
GUMBEL	3	3	3	3	3	2	3	3	3	2	AIC-norm
GEV	2	1	1	1	1	1	1	1	1	1	AIC-norm
LP3	1	2	2	2	2	3	2	2	2	3	AIC-norm
GUMBEL	3	3	3	3	3	2	3	3	3	1	BIC-norm
GEV	2	1	1	1	1	1	1	1	1	3	BIC-norm
LP3	1	2	2	2	2	3	2	2	2	2	BIC-norm
GUMBEL	13	15	15	15	15	13	15	15	15	7	Total-Ranking
GEV	8	5	5	5	5	5	5	5	5	10	Total-Ranking
LP3	9	10	10	10	10	12	10	10	10	13	Total-Ranking
