Group	t_5min	t_10min	t_15min	t_30min	t_60min	t_120min	t_180min	t_360min	t_720min	t_1440min	Metric
GUMBEL	1.0274	1	1.1118	1.4349	1	1	1.2005	1.2005	1.5427	1.0663	KS-norm
GEV	1	1.0422	1	1.0468	1.0073	1.0191	1	1	1	1	KS-norm
GAMMA	1.2743	1	1.1025	1.1527	1.05	1	1.1632	1.1632	1.4983	1.356	KS-norm
GUMBEL	1	1.7268	1.1636	1.6618	1.1623	1.0086	1.1791	1.1791	2.8803	1.2143	AD-norm
GEV	1.0041	1	1	1	1	1	1	1	1	1	AD-norm
GAMMA	1.3906	1.0689	1.014	1.1332	1.1819	1.1385	1.1489	1.1489	2.0032	1.7782	AD-norm
GUMBEL	1	1.1766	1.1949	1.7486	1.1813	1.008	1.2275	1.2275	3.7473	1.2719	CVM-norm
GEV	1.007	1	1	1	1	1	1	1	1	1	CVM-norm
GAMMA	1.2716	1	1.0732	1.1738	1	1	1.2298	1.2298	2.2352	2.0514	CVM-norm
GUMBEL	1	1.0283	1	1.0007	1	1	1	1	1.1206	1.0001	AIC-norm
GEV	1.008	1.0083	1.0078	1.0046	1.0069	1.011	1.0119	1.0119	1	1	AIC-norm
GAMMA	1.0079	1	1	1	1	1	1	1	1	1	AIC-norm
