Group	t_5min	t_10min	t_15min	t_30min	t_60min	t_120min	t_180min	t_360min	t_720min	t_1440min	Metric
GUMBEL	2	2	3	3	1	2	3	3	3	2	KS-norm
GEV	1	3	1	1	2	3	1	1	1	1	KS-norm
LP3	3	1	2	2	3	1	2	2	2	3	KS-norm
GUMBEL	1	3	3	3	2	2	3	3	3	2	AD-norm
GEV	2	1	1	1	1	1	1	1	1	1	AD-norm
LP3	3	2	2	2	3	3	2	2	2	3	AD-norm
GUMBEL	1	3	3	3	3	3	2	2	3	2	CVM-norm
GEV	2	2	1	1	2	2	1	1	1	1	CVM-norm
LP3	3	1	2	2	1	1	3	3	2	3	CVM-norm
GUMBEL	1	3	2	2	2	2	2	2	3	3	AIC-norm
GEV	3	2	3	3	3	3	3	3	2	2	AIC-norm
LP3	2	1	1	1	1	1	1	1	1	1	AIC-norm
GUMBEL	1	3	1	2	1	1	1	1	2	1	BIC-norm
GEV	2	2	3	3	2	3	2	2	1	3	BIC-norm
LP3	3	1	2	1	3	2	3	3	3	2	BIC-norm
GUMBEL	1	3	3	3	3	2	3	3	3	2	Ranking
GEV	2	2	1	1	1	3	1	1	1	1	Ranking
LP3	3	1	2	2	2	1	2	2	2	3	Ranking
